pair,n,tau_future_median,tau_total_median,delta_tau_median,pair_flip_rate_median,top1_disagreement_rate
attr_argmax_stats_v1|attrmix_stats_atom_v1,29475,0.4748,0.6317,-0.1569,0.0000,0.0118
attr_argmax_stats_v1|attrmix_stats_hist16_v1,29475,0.4381,0.5879,-0.1498,0.0000,0.0444
attr_argmax_stats_v1|j3_q95_v1,29475,0.4238,0.4609,-0.0371,0.0000,0.3033
attr_argmax_stats_v1|r1b_mean_v1,29475,0.3347,0.4667,-0.1320,0.0000,0.3058
attr_argmax_stats_v1|r1b_q95_v1,29475,0.4303,0.4667,-0.0363,0.0000,0.2878
attr_argmax_stats_v1|r1b_stepcvar95_v1,29475,0.4222,0.4667,-0.0444,0.0000,0.3096
attr_argmax_stats_v1|truth_h5_v1,29475,0.3902,0.4667,-0.0764,0.1667,0.4040
attrmix_stats_atom_v1|attrmix_stats_hist16_v1,29475,0.5589,0.5855,-0.0266,0.0000,0.0433
attrmix_stats_atom_v1|j3_q95_v1,29475,0.3333,0.4397,-0.1063,0.0000,0.3065
attrmix_stats_atom_v1|r1b_mean_v1,29475,0.3333,0.4667,-0.1333,0.0000,0.3061
attrmix_stats_atom_v1|r1b_q95_v1,29475,0.3333,0.4667,-0.1333,0.0000,0.2927
attrmix_stats_atom_v1|r1b_stepcvar95_v1,29475,0.3333,0.4667,-0.1333,0.0000,0.3122
attrmix_stats_atom_v1|truth_h5_v1,29475,0.2626,0.4667,-0.2041,0.1667,0.4042
attrmix_stats_hist16_v1|j3_q95_v1,29475,0.4135,0.4499,-0.0364,0.0000,0.3068
attrmix_stats_hist16_v1|r1b_mean_v1,29475,0.3333,0.4533,-0.1200,0.0000,0.3244
attrmix_stats_hist16_v1|r1b_q95_v1,29475,0.3333,0.4667,-0.1333,0.0000,0.2945
attrmix_stats_hist16_v1|r1b_stepcvar95_v1,29475,0.3360,0.4667,-0.1307,0.0000,0.3125
attrmix_stats_hist16_v1|truth_h5_v1,29475,0.3078,0.4667,-0.1589,0.1667,0.4024
j3_q95_v1|r1b_mean_v1,29475,0.4619,0.5619,-0.1000,0.0000,0.1920
j3_q95_v1|r1b_q95_v1,29475,0.4952,0.5343,-0.0391,0.0000,0.2238
j3_q95_v1|r1b_stepcvar95_v1,29475,0.5079,0.5589,-0.0510,0.0000,0.2354
j3_q95_v1|truth_h5_v1,29475,0.4303,0.5963,-0.1660,0.0000,0.3148
r1b_mean_v1|r1b_q95_v1,29475,0.4222,0.5524,-0.1302,0.0000,0.1981
r1b_mean_v1|r1b_stepcvar95_v1,29475,0.3619,0.5333,-0.1714,0.0000,0.2499
r1b_mean_v1|truth_h5_v1,29475,0.1861,0.5619,-0.3758,0.0000,0.3240
r1b_q95_v1|r1b_stepcvar95_v1,29475,0.5905,0.6000,-0.0095,0.0000,0.0763
r1b_q95_v1|truth_h5_v1,29475,0.4303,0.5429,-0.1125,0.1667,0.4287
r1b_stepcvar95_v1|truth_h5_v1,29475,0.4575,0.5556,-0.0980,0.1667,0.4380
